delta_deg,model,chi2,k,eps12,eps23,eps13,theta12_deg,theta23_deg,theta13_deg,s12sq,s23sq,s13sq
192.0,M_free23+free13,1.6900000002963753,3,-0.04938804838276433,-0.06248903534400411,0.0017616731063194412,33.52275029891412,42.18799340951981,8.58820800796107,0.30499999999374056,0.45099999999586227,0.02229999999999983
195.0,M_free23+free13,1.4290000002963235,3,-0.04938804843094309,-0.06248903533871016,0.0017616731110977177,33.522750297215126,42.187993409758036,8.588208008002033,0.30499999996643556,0.45099999999999996,0.022300000000210964
196.778655,M_free23+free13,1.3027154950341524,3,-0.04938804838176098,-0.0624890353387101,0.001761673106323367,33.522750298949504,42.18799340975804,8.588208007961102,0.3049999999943093,0.4510000000000001,0.022300000000000004
198.0,M_free23+free13,1.2160000004200544,3,-0.04938804838176096,-0.06248903533871009,0.0017616730992421812,33.522750298949504,42.18799340975804,8.588208007900395,0.3049999999943093,0.4510000000000001,0.022299999999687105
200.0,M_free23+free13,1.074000000419031,3,-0.04938804838176121,-0.06248903533871021,0.0017616730992610248,33.52275029894949,42.187993409758036,8.588208007900556,0.30499999999430905,0.45099999999999996,0.022299999999687934
204.0,M_free23+free13,0.790000000034149,3,-0.04938804838176074,-0.06248903533871014,0.0017616731063234657,33.52275029894951,42.187993409758036,8.588208007961102,0.3049999999943093,0.45099999999999996,0.022300000000000004
205.0,M_free23+free13,0.7430000003270668,3,-0.04938804841374671,-0.062489035338710225,0.0017616731155845548,33.522750297821545,42.187993409758036,8.588208008040498,0.30499999997618155,0.45099999999999996,0.02230000000040923
207.0,M_free23+free13,0.6490000000342427,3,-0.049388048381760925,-0.06248903533871225,0.0017616731063233874,33.522750298949504,42.187993409757944,8.588208007961102,0.3049999999943093,0.45099999999999846,0.022300000000000004
208.0,M_free23+free13,0.6020000000341516,3,-0.049388048381760884,-0.0624890353387101,0.001761673106323366,33.522750298949504,42.18799340975804,8.588208007961102,0.3049999999943093,0.4510000000000001,0.022300000000000004
210.0,M_free23+free13,0.5080000000341595,3,-0.049388048381761,-0.06248903533871044,0.0017616731063234527,33.522750298949504,42.18799340975803,8.588208007961102,0.3049999999943093,0.4509999999999998,0.022300000000000004
215.0,M_free23+free13,0.29400000003414833,3,-0.049388048381760606,-0.062489035338710204,0.0017616731063233662,33.52275029894952,42.187993409758036,8.588208007961102,0.30499999999430943,0.45099999999999996,0.022300000000000004
216.0,M_free23+free13,0.2680000003926952,3,-0.04938804838007493,-0.062489035329855294,0.0017616731063229494,33.52275029900896,42.18799341015651,8.5882080079611,0.30499999999526484,0.4510000000069211,0.022299999999999986
220.0,M_free23+free13,0.16400000040892918,3,-0.04938804838577432,-0.062489035329931976,0.0017616731063227265,33.52275029880798,42.187993410153055,8.588208007961098,0.3049999999920347,0.45100000000686113,0.02229999999999998
222.0,M_free23+free13,0.11200000003416011,3,-0.04938804838176115,-0.06248903533871049,0.0017616731063234473,33.5227502989495,42.18799340975802,8.588208007961102,0.3049999999943092,0.4509999999999998,0.022300000000000004
224.0,M_free23+free13,0.060000000033959285,3,-0.04938804838164793,-0.06248903533871435,0.0017616731063235503,33.52275029895349,42.18799340975785,8.588208007961102,0.3049999999943733,0.45099999999999685,0.022300000000000004
225.0,M_free23+free13,0.05250000003415995,3,-0.04938804838176078,-0.0624890353387102,0.0017616731063238317,33.52275029894951,42.187993409758036,8.588208007961107,0.3049999999943093,0.45099999999999996,0.022300000000000028
228.0,M_free23+free13,0.03000000038603236,3,-0.049388048371723545,-0.06248903533870429,0.001761673099244495,33.52275029930347,42.1879934097583,8.588208007900414,0.30499999999999794,0.45100000000000456,0.022299999999687205
230.0,M_free23+free13,0.015000000420051993,3,-0.049388048381760995,-0.0624890353387102,0.0017616730992422369,33.522750298949504,42.187993409758036,8.588208007900395,0.3049999999943093,0.45099999999999996,0.022299999999687105
232.0,M_free23+free13,3.4149023886431706e-11,3,-0.049388048381761064,-0.06248903533871016,0.0017616731063233879,33.522750298949504,42.187993409758036,8.588208007961102,0.3049999999943093,0.45099999999999996,0.022300000000000004
232.238756,M_free23+free13,0.0017906700341489869,3,-0.04938804838176098,-0.06248903533871018,0.0017616731063233762,33.522750298949504,42.187993409758036,8.588208007961102,0.3049999999943093,0.45099999999999996,0.022300000000000004
234.0,M_free23+free13,0.015000000034153605,3,-0.049388048381759975,-0.062489035338709864,0.0017616731063235165,33.522750298949546,42.18799340975805,8.588208007961102,0.30499999999430993,0.45100000000000023,0.022300000000000004
235.0,M_free23+free13,0.02250000003415046,3,-0.04938804838176038,-0.0624890353387102,0.0017616731063231398,33.522750298949525,42.187993409758036,8.5882080079611,0.30499999999430955,0.45099999999999996,0.022299999999999997
240.0,M_free23+free13,0.060000000034152144,3,-0.04938804838176076,-0.06248903533871015,0.0017616731063235845,33.52275029894951,42.187993409758036,8.588208007961104,0.3049999999943093,0.45099999999999996,0.02230000000000001
243.0,M_free23+free13,0.12900000041902485,3,-0.04938804838176227,-0.062489035338708365,0.0017616730992623408,33.52275029894946,42.187993409758114,8.588208007900569,0.3049999999943086,0.45100000000000146,0.022299999999688
